timestamp,temperature
2026-06-19 10:00:00,78
2026-06-19 10:01:00,137
2026-06-19 10:02:00,64
2026-06-19 10:03:00,134
2026-06-19 10:04:00,14
2026-06-19 10:05:00,122
2026-06-19 10:06:00,101
2026-06-19 10:07:00,61
2026-06-19 10:08:00,4
2026-06-19 10:09:00,12
2026-06-19 10:10:00,143
2026-06-19 10:11:00,89
2026-06-19 10:12:00,120
2026-06-19 10:13:00,34
2026-06-19 10:14:00,11
2026-06-19 10:15:00,98
2026-06-19 10:16:00,100
2026-06-19 10:17:00,7
2026-06-19 10:18:00,4
2026-06-19 10:19:00,105
2026-06-19 10:05:00,122
2026-06-19 10:10:00,143
